device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,out_of_order_flag,cpu_ms_per_report
1001,0,165081850,1765396640.506884,0,0,0,0.0361
1001,1,165082945,1765396641.601581,0,0,0,0.0315
1001,2,165083903,1765396642.560172,0,0,0,0.0230
1001,3,165084954,1765396643.611236,0,0,0,0.0237
1001,4,165086099,1765396644.755297,0,0,0,0.0224
1001,5,165087225,1765396645.882328,0,0,0,0.0602
1001,6,165088217,1765396646.873357,0,0,0,0.0253
1001,7,165089147,1765396647.804118,0,0,0,0.0254
1001,8,165090103,1765396648.759492,0,0,0,0.0219
1001,9,165091172,1765396649.829013,0,0,0,0.0250
1001,10,165092187,1765396650.843782,0,0,0,0.0208
1001,11,165093120,1765396651.777473,0,0,0,0.0356
1001,12,165094191,1765396652.848357,0,0,0,0.0371
1001,13,165095202,1765396653.858362,0,0,0,0.0250
1001,14,165096277,1765396654.933582,0,0,0,0.0376
1001,15,165097321,1765396655.977333,0,0,0,0.0254
1001,16,165098445,1765396657.101663,0,0,0,0.0555
1001,17,165099440,1765396658.097109,0,0,0,0.0247
1001,18,165100423,1765396659.079717,0,0,0,0.0247
1001,19,165099620,1765396658.277138,0,0,0,0.0179
1001,20,165100666,1765396659.322697,0,0,0,0.0373
1001,21,165101767,1765396660.423489,0,0,0,0.0368
1001,22,165102710,1765396661.366771,0,0,0,0.0203
1001,23,165103752,1765396662.408773,0,0,0,0.0770
1001,24,165104854,1765396663.510848,0,0,0,0.0234
1001,25,165105884,1765396664.540316,0,0,0,0.0250
1001,26,165106862,1765396665.519097,0,0,0,0.0281
1001,27,165107871,1765396666.527672,0,0,0,0.0205
1001,28,165108905,1765396667.561927,0,0,0,0.0242
1001,29,165110020,1765396668.676659,0,0,0,0.0287
1001,30,165111047,1765396669.703380,0,0,0,0.0255
1001,31,165112120,1765396670.776418,0,0,0,0.0329
1001,32,165113186,1765396671.842212,0,0,0,0.0234
1001,33,165114131,1765396672.787831,0,0,0,0.0320
1001,34,165115205,1765396673.862158,0,0,0,0.0194
1001,35,165116275,1765396674.931630,0,0,0,0.0365
1001,36,165117324,1765396675.980317,0,0,0,0.0192
1001,37,165118418,1765396677.074329,0,0,0,0.0295
1001,38,165119353,1765396678.010026,0,0,0,0.0261
1001,39,165120322,1765396678.979503,0,0,0,0.0417
1001,40,165121436,1765396680.093230,0,0,0,0.0302
1001,41,165122400,1765396681.057092,0,0,0,0.0217
1001,42,165123410,1765396682.066887,0,0,0,0.0243
1001,43,165124407,1765396683.063588,0,0,0,0.0214
1001,44,165125524,1765396684.180491,0,0,0,0.0193
1001,45,165126462,1765396685.118353,0,0,0,0.0258
1001,46,165127504,1765396686.161143,0,0,0,0.0518
1001,47,165128602,1765396687.258380,0,0,0,0.0257
1001,48,165129644,1765396688.300586,0,0,0,0.0420
1001,49,165130582,1765396689.238891,0,0,0,0.0428
1001,50,165129742,1765396688.398287,0,0,0,0.0205
1001,51,165130706,1765396689.363073,0,0,0,0.0256
1001,52,165131666,1765396690.322983,0,0,0,0.0411
1001,53,165132738,1765396691.394420,0,0,0,0.0230
1001,54,165133676,1765396692.333177,0,0,0,0.0638
1001,55,165134642,1765396693.298436,0,0,0,0.0199
1001,56,165135629,1765396694.285454,0,0,0,0.0278
1001,57,165136600,1765396695.257135,0,0,0,0.0201
1001,58,165137551,1765396696.208118,0,0,0,0.0186
1001,59,165138637,1765396697.293950,0,0,0,0.0217
1001,60,165139742,1765396698.398466,0,0,0,0.0903
1001,61,165140669,1765396699.325683,0,0,0,0.0251
1001,62,165141644,1765396700.301131,0,0,0,0.0155
1001,63,165142675,1765396701.331475,0,0,0,0.0255
