device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,cpu_ms_per_report
1001,0,246740141,1765478298.797594,0,0,0.0353
1001,1,246741057,1765478299.714152,0,0,0.0254
1001,2,246741469,1765478300.125437,0,0,0.0258
1001,3,246742477,1765478301.133619,0,0,0.0239
1001,4,246743396,1765478302.052915,0,0,0.0315
1001,5,246744499,1765478303.156194,0,0,0.0335
1001,6,246745502,1765478304.158482,0,0,0.0157
1001,7,246746419,1765478305.075983,0,0,0.0244
1001,8,246747496,1765478306.152866,0,0,0.0375
1001,9,246748545,1765478307.202109,0,0,0.0209
1001,10,246749584,1765478308.240313,0,0,0.0168
1001,11,246750681,1765478309.337451,0,0,0.0188
1001,13,246752559,1765478311.215812,0,1,0.0273
1001,14,246753651,1765478312.308019,0,0,0.0238
1001,15,246754633,1765478313.290184,0,0,0.0360
1001,16,246755617,1765478314.273490,0,0,0.0174
1001,17,246756639,1765478315.296069,0,0,0.0177
1001,18,246757552,1765478316.208895,0,0,0.0186
1001,19,246758583,1765478317.239614,0,0,0.0173
1001,20,246759685,1765478318.341829,0,0,0.0189
1001,21,246760688,1765478319.344709,0,0,0.0165
1001,22,246761609,1765478320.266209,0,0,0.0204
1001,23,246762678,1765478321.334607,0,0,0.0626
1001,24,246763587,1765478322.243615,0,0,0.0147
1001,25,246764529,1765478323.185899,0,0,0.0194
1001,26,246765462,1765478324.119144,0,0,0.0174
1001,27,246766380,1765478325.036501,0,0,0.0195
1001,28,246767475,1765478326.131824,0,0,0.0243
1001,29,246768379,1765478327.035256,0,0,0.0175
1001,30,246769466,1765478328.123157,0,0,0.0293
1001,31,246770559,1765478329.215998,0,0,0.0147
1001,32,246771554,1765478330.210534,0,0,0.0151
1001,33,246772493,1765478331.150072,0,0,0.0370
1001,34,246773447,1765478332.103846,0,0,0.0240
1001,35,246773835,1765478332.491475,0,0,0.0184
1001,36,246774833,1765478333.489913,0,0,0.0457
1001,37,246775822,1765478334.478642,0,0,0.0259
1001,38,246776860,1765478335.516727,0,0,0.0142
1001,39,246777844,1765478336.501166,0,0,0.0293
1001,40,246778928,1765478337.585150,0,0,0.0397
1001,41,246779974,1765478338.630801,0,0,0.0407
1001,42,246780963,1765478339.619696,0,0,0.0372
1001,43,246782054,1765478340.711315,0,0,0.0410
1001,44,246783145,1765478341.801657,0,0,0.0465
1001,45,246784095,1765478342.751336,0,0,0.0211
1001,46,246785150,1765478343.807132,0,0,0.0149
1001,47,246786216,1765478344.872923,0,0,0.0524
1001,48,246787165,1765478345.821671,0,0,0.0317
1001,49,246788137,1765478346.794369,0,0,0.0446
1001,50,246789102,1765478347.758629,0,0,0.0241
1001,51,246790066,1765478348.722447,0,0,0.0241
1001,52,246791080,1765478349.736230,0,0,0.0149
1001,53,246792106,1765478350.762261,0,0,0.0153
1001,54,246793125,1765478351.781492,0,0,0.0246
1001,55,246794100,1765478352.756800,0,0,0.0666
1001,56,246795189,1765478353.845843,0,0,0.0149
1001,57,246796174,1765478354.830940,0,0,0.0190
1001,58,246797227,1765478355.884149,0,0,0.0404
1001,59,246798256,1765478356.913096,0,0,0.0365
1001,60,246799185,1765478357.841547,0,0,0.0300
1001,61,246800134,1765478358.790686,0,0,0.0316
1001,62,246801063,1765478359.719733,0,0,0.0193
1001,63,246802005,1765478360.662242,0,0,0.0372
1001,64,246803036,1765478361.692603,0,0,0.0223
