device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,cpu_ms_per_report
1001,0,410486185,1765642044.841557,0,0,0.0676
1001,1,410487272,1765642045.928884,0,0,0.0304
1001,2,410488218,1765642046.874815,0,0,0.0304
1001,3,410489313,1765642047.969547,0,0,0.0304
1001,4,410490279,1765642048.936142,0,0,0.0286
1001,5,410491289,1765642049.945647,0,0,0.0189
1001,6,410492233,1765642050.889580,0,0,0.0240
1001,7,410493251,1765642051.907828,0,0,0.0216
1001,8,410494208,1765642052.864612,0,0,0.0292
1001,9,410495194,1765642053.850883,0,0,0.0305
1001,10,410496242,1765642054.899160,0,0,0.0348
1001,11,410497189,1765642055.846181,0,0,0.0324
1001,12,410498170,1765642056.826630,0,0,0.0311
1001,13,410499205,1765642057.861580,0,0,0.0283
1001,14,410500134,1765642058.790539,0,0,0.0298
1001,15,410501195,1765642059.852194,0,0,0.0508
1001,16,410502253,1765642060.910414,0,0,0.0414
1001,17,410503246,1765642061.902564,0,0,0.0249
1001,18,410504305,1765642062.962396,0,0,0.0253
1001,19,410505295,1765642063.952091,0,0,0.0344
1001,20,410506269,1765642064.925514,0,0,0.0308
1001,21,410507350,1765642066.006265,0,0,0.0149
1001,22,410506911,1765642065.567924,0,0,0.0279
1001,23,410507853,1765642066.509617,0,0,0.0272
1001,24,410508917,1765642067.573544,0,0,0.0195
1001,25,410510012,1765642068.668729,0,0,0.0200
1001,26,410511034,1765642069.690549,0,0,0.0258
1001,27,410512115,1765642070.771446,0,0,0.0175
1001,28,410513148,1765642071.804637,0,0,0.0299
1001,29,410514226,1765642072.883017,0,0,0.0421
1001,30,410515167,1765642073.823724,0,0,0.0321
1001,31,410516082,1765642074.738819,0,0,0.0204
1001,32,410517155,1765642075.811466,0,0,0.0300
1001,33,410518073,1765642076.730194,0,0,0.0279
1001,34,410519173,1765642077.829302,0,0,0.0225
1001,35,410520131,1765642078.787339,0,0,0.0233
1001,36,410521185,1765642079.841856,0,0,0.0208
1001,37,410522229,1765642080.885413,0,0,0.0207
1001,38,410523268,1765642081.924836,0,0,0.0180
1001,39,410524220,1765642082.876424,0,0,0.0356
1001,40,410525259,1765642083.916217,0,0,0.0492
1001,41,410526367,1765642085.023985,0,0,0.0212
1001,42,410527457,1765642086.114023,0,0,0.0272
1001,43,410528425,1765642087.082157,0,0,0.0302
1001,44,410529496,1765642088.152738,0,0,0.0305
1001,45,410530459,1765642089.116112,0,0,0.0197
1001,46,410531490,1765642090.147321,0,0,0.1149
1001,47,410532428,1765642091.084810,0,0,0.0211
1001,48,410533401,1765642092.058233,0,0,0.0394
1001,49,410534388,1765642093.045284,0,0,0.0251
1001,50,410535487,1765642094.143431,0,0,0.0236
1001,51,410536452,1765642095.108296,0,0,0.0312
1001,52,410537517,1765642096.174109,0,0,0.0233
1001,53,410538601,1765642097.257387,0,0,0.0238
1001,54,410538142,1765642096.798853,0,0,0.0241
1001,55,410539099,1765642097.755599,0,0,0.0303
1001,56,410540211,1765642098.868629,0,0,0.0429
1001,57,410541168,1765642099.824613,0,0,0.0314
1001,58,410542196,1765642100.852273,0,0,0.0311
1001,59,410543229,1765642101.886153,0,0,0.0389
1001,60,410544234,1765642102.890890,0,0,0.0213
1001,61,410545290,1765642103.947320,0,0,0.0419
1001,62,410546358,1765642105.014967,0,0,0.0290
1001,63,410547450,1765642106.107063,0,0,0.0247
